quarteryear,quarter,sea_surface_temperature,wave_height,min_sea_surface_temperature,min_wave_height,max_sea_surface_temperature,max_wave_height,date,Area
1984,3,19.347826076590497,NaN,19.347826076590497,Inf,19.347826076590497,-Inf,1984-08-20T11:00:00Z,Boston Harbor Islands
1984,4,13.999792986199147,NaN,13.999792986199147,Inf,13.999792986199147,-Inf,1984-10-01T12:00:00Z,Boston Harbor Islands
1985,1,4.83254299475281,NaN,4.83254299475281,Inf,4.83254299475281,-Inf,1985-01-15T00:00:00Z,Boston Harbor Islands
1985,2,6.313707456966004,NaN,6.313707456966004,Inf,6.313707456966004,-Inf,1985-04-16T02:00:00Z,Boston Harbor Islands
1985,3,16.160763001247062,NaN,16.160763001247062,Inf,16.160763001247062,-Inf,1985-07-16T23:00:00Z,Boston Harbor Islands
1985,4,13.14703448547714,NaN,13.14703448547714,Inf,13.14703448547714,-Inf,1985-09-16T11:00:00Z,Boston Harbor Islands
1986,1,4.3633116969703964,NaN,4.3633116969703964,Inf,4.3633116969703964,-Inf,1986-01-14T23:00:00Z,Boston Harbor Islands
1986,2,5.362971996128486,NaN,5.362971996128486,Inf,5.362971996128486,-Inf,1986-04-04T08:00:00Z,Boston Harbor Islands
1986,3,16.32461117825591,0.4625516333072324,16.32461117825591,0.4625516333072324,16.32461117825591,0.4625516333072324,1986-07-16T20:00:00Z,Boston Harbor Islands
1986,4,12.567647042958175,0.5864418483270667,12.567647042958175,0.5864418483270667,12.567647042958175,0.5864418483270667,1986-09-16T09:00:00Z,Boston Harbor Islands
1987,1,4.808302243587686,0.9648991110269198,4.808302243587686,0.9648991110269198,4.808302243587686,0.9648991110269198,1987-01-14T22:00:00Z,Boston Harbor Islands
1987,2,5.729904423261372,0.9772706560277058,5.729904423261372,0.9772706560277058,5.729904423261372,0.9772706560277058,1987-04-16T02:00:00Z,Boston Harbor Islands
1987,3,16.796902000752727,0.41492613869179773,16.796902000752727,0.41492613869179773,16.796902000752727,0.41492613869179773,1987-07-12T02:00:00Z,Boston Harbor Islands
1987,4,10.32263436414905,0.7696372275167271,10.32263436414905,0.7696372275167271,10.32263436414905,0.7696372275167271,1986-11-28T15:00:00Z,Boston Harbor Islands
1988,1,4.015271393004753,0.7625115459693711,4.015271393004753,0.7625115459693711,4.015271393004753,0.7625115459693711,1988-01-15T13:00:00Z,Boston Harbor Islands
1988,2,6.026363639506426,0.7857664282957133,6.026363639506426,0.7857664282957133,6.026363639506426,0.7857664282957133,1988-04-15T22:00:00Z,Boston Harbor Islands
1988,3,15.84595816531688,0.40346557906554054,15.84595816531688,0.40346557906554054,15.84595816531688,0.40346557906554054,1988-07-16T22:00:00Z,Boston Harbor Islands
1988,4,11.770500229473926,0.7196898538780335,11.770500229473926,0.7196898538780335,11.770500229473926,0.7196898538780335,1988-09-17T06:00:00Z,Boston Harbor Islands
1989,1,4.562530809675168,0.8412213786058854,4.562530809675168,0.8412213786058854,4.562530809675168,0.8412213786058854,1989-01-03T15:00:00Z,Boston Harbor Islands
1989,2,5.761217946207131,0.7565985172294551,5.761217946207131,0.7565985172294551,5.761217946207131,0.7565985172294551,1989-04-16T01:00:00Z,Boston Harbor Islands
1989,3,16.97452342859372,0.44761905404319746,16.97452342859372,0.44761905404319746,16.97452342859372,0.44761905404319746,1989-07-16T20:00:00Z,Boston Harbor Islands
1989,4,13.57529972268523,0.7788391825996402,13.57529972268523,0.7788391825996402,13.57529972268523,0.7788391825996402,1989-09-26T23:00:00Z,Boston Harbor Islands
1990,1,3.5244175281240246,0.6659484829500631,3.5244175281240246,0.6659484829500631,3.5244175281240246,0.6659484829500631,1990-01-14T23:00:00Z,Boston Harbor Islands
1990,2,5.764354629477175,0.730715939409463,5.764354629477175,0.730715939409463,5.764354629477175,0.730715939409463,1990-04-16T05:00:00Z,Boston Harbor Islands
1990,3,16.69415257150259,0.46930829780641303,16.69415257150259,0.46930829780641303,16.69415257150259,0.46930829780641303,1990-07-17T04:00:00Z,Boston Harbor Islands
1990,4,13.356224172204035,0.7059067877333561,13.356224172204035,0.7059067877333561,13.356224172204035,0.7059067877333561,1990-09-16T12:00:00Z,Boston Harbor Islands
1991,1,5.278839906462384,0.6734788706288247,5.278839906462384,0.6734788706288247,5.278839906462384,0.6734788706288247,1991-01-15T00:00:00Z,Boston Harbor Islands
1991,2,7.012562371922188,0.7923987301903309,7.012562371922188,0.7923987301903309,7.012562371922188,0.7923987301903309,1991-04-15T23:00:00Z,Boston Harbor Islands
1991,3,17.56984484239216,0.4264840243205632,17.56984484239216,0.4264840243205632,17.56984484239216,0.4264840243205632,1991-07-16T20:00:00Z,Boston Harbor Islands
1991,4,12.760671556818453,0.7413936361402315,12.760671556818453,0.7413936361402315,12.760671556818453,0.7413936361402315,1991-09-16T10:00:00Z,Boston Harbor Islands
1992,1,4.794334398662369,0.789354841359612,4.794334398662369,0.789354841359612,4.794334398662369,0.789354841359612,1992-01-15T10:00:00Z,Boston Harbor Islands
1992,2,5.481045461134477,0.8025512561711201,5.481045461134477,0.8025512561711201,5.481045461134477,0.8025512561711201,1992-04-16T02:00:00Z,Boston Harbor Islands
1992,3,14.977980790589159,0.4307303688273717,14.977980790589159,0.4307303688273717,14.977980790589159,0.4307303688273717,1992-07-16T18:00:00Z,Boston Harbor Islands
1992,4,11.854005530394243,0.6675588410153441,11.854005530394243,0.6675588410153441,11.854005530394243,0.6675588410153441,1992-09-16T11:00:00Z,Boston Harbor Islands
1993,1,4.174883292001836,1.12004695110058,4.174883292001836,1.12004695110058,4.174883292001836,1.12004695110058,1993-01-14T18:00:00Z,Boston Harbor Islands
1993,2,5.425469550172288,1.015593377768774,5.425469550172288,1.015593377768774,5.425469550172288,1.015593377768774,1993-04-16T09:00:00Z,Boston Harbor Islands
1993,3,16.313107160118935,0.4112669538224117,16.313107160118935,0.4112669538224117,16.313107160118935,0.4112669538224117,1993-07-16T23:00:00Z,Boston Harbor Islands
1993,4,11.623564803600312,0.7007102308173975,11.623564803600312,0.7007102308173975,11.623564803600312,0.7007102308173975,1993-09-16T12:00:00Z,Boston Harbor Islands
1994,1,4.103372379683778,1.2372688492852797,4.103372379683778,1.2372688492852797,4.103372379683778,1.2372688492852797,1994-01-14T15:00:00Z,Boston Harbor Islands
1994,2,5.237687766579102,0.8371559673014584,5.237687766579102,0.8371559673014584,5.237687766579102,0.8371559673014584,1994-04-15T20:00:00Z,Boston Harbor Islands
1994,3,16.403690155220467,0.45288597572820394,16.403690155220467,0.45288597572820394,16.403690155220467,0.45288597572820394,1994-07-16T21:00:00Z,Boston Harbor Islands
1994,4,12.137388044773642,0.7614734902495456,12.137388044773642,0.7614734902495456,12.137388044773642,0.7614734902495456,1994-09-16T08:00:00Z,Boston Harbor Islands
1995,1,NaN,1.1446161053670145,Inf,1.1446161053670145,-Inf,1.1446161053670145,1995-01-14T21:00:00Z,Boston Harbor Islands
1995,2,NaN,0.8988117018895023,Inf,0.8988117018895023,-Inf,0.8988117018895023,1995-04-15T22:00:00Z,Boston Harbor Islands
1995,3,NaN,0.5669716437775829,Inf,0.5669716437775829,-Inf,0.5669716437775829,1995-07-17T01:00:00Z,Boston Harbor Islands
