SPA Density2,42,62,49,34,5,5,39,59,34,10,52,47,66,31,24,33,67,71,50,12,142,22,18,41,72,98,48,71,26,0,111,0,14,24,0,0,0,60,0,0,28,49,59,78,0,47,60,47,31,38,32,41,60,27,72,89,41,72,87,2,,,,,,,,,,,,,,
SPA Density3,27,32,48,30,4,0,56,64,29,11,59,28,49,49,13,27,43,73,49,15,86,7,21,24,84,118,33,69,11,0,117,0,1,28,0,0,0,63,0,0,60,32,79,62,1,54,66,43,42,62,37,68,66,31,94,104,29,39,74,2,,,,,,,,,,,,,,
SPA Height1,17.5,15.5,13,25,20,15,9,16,24,20,18,9,19,14,17,13,19,12,14,20,38,28,37,52,42,58,19,51,12,0,62,14,44,71,0,0,0,12,0,0,79,48,31.5,28,42,60,28.5,5,54,30,74,35,38,25,40,78,38,29,33,38,,,,,,,,,,,,,,
SPA Height2,18.5,12,12,19,25,14,10,19.5,20,15.5,1,10,11,18,18,15,18.5,11,23,19,50,30,30,46,46,52,26,48,26,0,56,24,46,68,0,0,0,12.5,0,0,69.5,36,23.75,34,57,56.5,17.75,48,485,26,75,6,30,28,34,62,36,28,24,52,,,,,,,,,,,,,,
SPA Height3,7,12,14,23,19.5,13,9,28,19,19,16,10,14,16,17.5,25,19.5,10.5,19,22,29,41,31,50,40,58,28,48,15,0,52,22,45,80,0,0,0,12,0,0,61.5,42.5,36.75,30.6,41,62,30,42.5,46.5,45,70,31,31,32,42,84,24,26,34,64,,,,,,,,,,,,,,
SPA Height4,16,16,14,20,20.5,15,9.5,18,16,21,14,9,16,17,1,14,22,10.5,21,20,37,42,45,56,52,61,25,66,17,0,50,16,44,76,0,0,0,11.5,0,0,61.5,24,37.6,27.5,0,72.5,24.5,31.5,34,30,65,37,35,25,51,83,34,27,28,40,,,,,,,,,,,,,,
SPA Height5,21,15,13,19,16,11,11,18,14.5,14.5,18,9.5,16.5,13,13,17,24,12,25,20,72,38,36,53,36,51,12,42,25,0,61,13,43,61,0,0,0,15,0,0,89.25,34,31.6,26.5,0,67,16,21,44,32,71,34,35,36,22,80,32,25,26,61,,,,,,,,,,,,,,
SPA Height6,21,12,12,19,24,15,10,17.5,17,23,22,9,15,14,16.5,19,18,11,22,21,47,67,28,36,30,41,17,50,27,0,59,15,44,51,0,0,0,16,0,0,70.25,36.25,35.3,29,0,66,34,36.25,39,38,62,46,34,28,31,46,32,26,41,47,,,,,,,,,,,,,,
SPA Height7,19,14,12,24.5,15.5,13,10,20,16,24.5,19,7,16,16,13,12.5,19,12,16,15,53,59,26,52,35,62,22,49,16,0,48,19,45,42,0,0,0,13,0,0,79.5,33.25,38.5,31.25,0,40.5,26.5,34.5,47,31,64,34,29,45,26,38,31,34,36,56,,,,,,,,,,,,,,
SPA Height8,20,12.5,13,21,20.5,13.5,9,19,22,17,20,9,22,15,15,11,19,12,15.5,18,56,37,40,53,56,53,24,39,17,0,54,21,47,45,0,0,0,14.5,0,0,76.5,32,34.5,33.25,0,47,28.25,38,39.5,28,50,26,33,31,28,52,34,23,37,0,,,,,,,,,,,,,,
SPA Height9,22,16,10,25.5,20,14,10,18.5,21,16,16,9,17,14.5,14,11,20,12.5,19,21,52,38,42,63,48,60,22,64,23,0,66,24,45,52,0,0,0,13,0,0,84.25,41,35,30.25,0,63.5,22.5,33,44,26,62,37,38,30,38,61,30,26,39,0,,,,,,,,,,,,,,
SPA Height10,20,11,13,17,17.5,14,10,17.5,23,17,18.5,8.5,13.5,12.5,12,14,19,12,19,19.5,58,41,39,36,31,67,29,43,18,0,57,23,48,50,0,0,0,15,0,0,87.4,37,30.5,30.6,0,48,23.5,37,43.75,21,57,35,34,20,21,32,31,29,35,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
