% Detritus,30,19,65,7,100,35,61,2,25,40,65,100,80,100,50,30,0,20,5,70,30,50,25,40,52,25,15,30,45,100,2,60,3,5,100,5,100,100,95,100,0,40,27,0,5,90,91,65,44,3,8,85,100,100,100,6,0,15,100,100
% Wrack,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPA Density1,15,25,21,0,5,0,41,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,5,8,19,73,114,0,21,62,96,11,0,13,84,130,85,0,24,46,48,126,15,34,22,67,35,26,10,45,63,28,0,8,91,42,29,45
SPA Density2,13,29,19,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,15,88,99,0,38,49,88,19,0,7,92,86,97,0,36,56,57,114,14,20,24,45,42,41,7,58,56,17,0,17,105,48,33,36
SPA Density3,10,42,11,0,0,0,57,0,0,0,0,0,0,0,0,3,9,3,2,0,0,0,0,0,0,0,43,79,110,0,23,57,92,5,0,26,89,92,93,0,19,71,59,99,29,12,29,39,15,33,10,62,54,31,0,12,55,42,32,33
SPA Height1,29,41,79,39,74,0,25,11,0,0,0,0,0,0,0,37,29,12,29,0,0,0,0,0,38,55,42,52,58,30,55,22,20,14,0,16,21,18,31,0,20,26,52,17,51,47,41,43,23,52,148,43,19,43,0,91,10,25,29,61
SPA Height2,36,6,27,57,12,0,32,31,0,0,0,0,0,0,0,26,72,13,32,0,0,0,0,0,25,48,36,22,50,7,13,21,19,20,0,62,25,29,32,0,25,24,56,11,30,39,31,20,15,59,137,32,44,35,0,95,25,23,33,56
SPA Height3,19,61,66,14,26,0,21,23,0,0,0,0,0,0,0,45,7,13,23,0,0,0,0,0,26,4,6,16,42,8,56,18,17,21,0,60,18,26,3,0,21,19,17,6,58,35,36,27,18,70,86,32,51,44,0,52,5,20,31,56
SPA Height4,28,92,58,26,40,0,23,9,0,0,0,0,0,0,0,38,26,13,21,0,0,0,0,0,33,6,38,48,35,10,76,16,26,24,0,49,32,20,26,0,24,24,14,13,65,37,33,40,19,82,74,33,39,44,0,78,9,26,82,49
SPA Height5,29,54,22,33,40,0,22,37,0,0,0,0,0,0,0,31,27,7,29,0,0,0,0,0,37,42,25,36,77,27,59,8,19,27,0,66,23,14,39,0,24,2,51,13,46,36,36,38,25,80,133,41,35,44,0,86,23,17,26,54
SPA Height6,28,19,67,48,14,0,6,13,0,0,0,0,0,0,0,38,56,7,23,0,0,0,0,0,39,46,44,39,21,12,61,13,19,18,0,9,19,25,22,0,30,7,63,3,43,41,38,29,20,73,94,33,33,41,0,88,11,12,37,53
SPA Height7,22,47,77,29,8,0,31,54,0,0,0,0,0,0,0,32,25,12,28,0,0,0,0,0,37,3,27,14,11,17,18,37,19,12,0,59,10,23,26,0,18,25,50,21,54,44,48,35,22,76,81,43,37,42,0,97,5,19,34,58
SPA Height8,37,36,31,24,0,0,7,108,0,0,0,0,0,0,0,26,8,10,12,0,0,0,0,0,42,6,39,13,6,13,22,29,18,3,0,32,7,4,16,0,32,24,56,18,52,47,48,3,33,74,120,44,39,39,0,65,15,18,28,9
SPA Height9,22,44,83,21,0,0,48,73,0,0,0,0,0,0,0,37,42,24,0,0,0,0,0,0,33,10,7,26,27,20,88,22,21,23,0,62,18,21,31,0,17,20,61,14,55,52,34,51,13,69,123,37,36,38,0,94,5,18,33,39
SPA Height10,57,49,30,19,0,0,34,25,0,0,0,0,0,0,0,33,27,13,0,0,0,0,0,0,22,5,16,67,29,41,11,21,19,20,0,13,14,31,36,0,30,16,49,16,43,94,39,22,21,48,144,57,31,39,0,96,7,25,24,60
8/10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
