SPA Height2,29,18,33,24,0,32,36,8,27,30,0,42,12,12,31,49,47,39,50,64,63,23,30,16,48,53,29,35,46,41,58,32,36,20,0,29,70,22,43,38,52,15,48,65,0,49,0,0,0,50,76,88,0,50,51,47,38,56,45,0
SPA Height3,22,16,37,39,0,31,34,24,17,34,0,36,14,19,27,51,53,38,40,59,61,28,24,37,59,39,31,36,45,45,15,40,37,28,0,48,55,20,34,36,53,20,49,62,0,52,0,0,0,66,63,62,0,40,49,49,34,49,50,0
SPA Height4,35,23,31,31,0,30,21,25,27,21,0,43,14,7,19,49,40,41,41,66,69,8,32,31,47,34,37,34,49,51,28,50,34,22,0,57,61,28,27,40,48,42,58,54,0,57,0,0,0,29,50,62,0,43,50,48,36,49,49,0
SPA Height5,36,20,26,49,0,33,22,16,29,35,0,33,15,24,67,48,53,31,42,84,51,11,46,36,53,31,28,26,39,47,38,47,35,23,0,21,58,15,29,433,44,19,44,33,0,44,0,0,0,49,61,55,0,65,64,48,47,39,53,0
SPA Height6,34,15,28,34,0,28,27,26,33,20,0,10,6,30,60,54,46,27,47,72,49,1,23,39,46,9,7,31,49,0,48,30,34,29,0,32,52,23,37,32,44,15,48,26,0,38,0,0,0,55,74,60,0,53,62,50,48,42,46,0
SPA Height7,38,25,29,36,0,5,25,20,31,39,0,26,16,25,61,53,47,21,53,2,21,6,26,24,56,16,22,37,52,0,35,42,34,24,0,47,42,16,67,62,50,21,43,60,0,53,0,0,0,55,73,61,0,52,64,50,42,40,50,0
SPA Height8,44,20,31,40,0,20,24,22,28,41,0,31,15,25,58,44,49,39,51,81,46,28,34,19,55,38,31,27,31,0,55,48,31,23,0,51,41,40,32,35,56,21,45,61,0,39,0,0,0,69,90,58,0,53,53,60,44,38,45,0
SPA Height9,46,27,28,37,0,33,21,25,21,44,0,27,9,25,22,45,53,41,41,66,66,16,41,19,44,50,31,31,49,0,30,45,36,26,0,43,45,27,35,31,40,21,58,2,0,33,0,0,0,47,74,59,0,48,72,52,52,54,46,0
SPA Height10,41,34,33,44,0,35,29,22,13,38,0,59,3,30,20,49,41,40,38,70,64,14,46,16,44,41,26,29,38,0,38,40,33,23,0,53,53,39,39,46,40,16,59,30,0,34,0,0,0,54,63,53,0,43,61,52,41,42,47,0
SPA: Spartina alterniflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LI: Limonium,,ASNO: Aschophyllum nodosum,,,,,,,,,,,,,,,,,,,,,,,,,,
SPP: Spartina patens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DISP Distichilis spicata,,FUVE: Fucus vesiculosus,,,,,,,,,,,,,,,,,,,,,,,,,,
SARC: Sarcocornia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IVFR: Iva frutescens,,FUSP: Fucus spiralis,,,,,,,,,,,,,,,,,,,,,,,,,,
ATPA: Atriplex patula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUGE: Junvus gerardii,,FUDU: Fucus distichus,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
