Site,Zone,Time,Tide,Species,Number,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?,,
EP,3,9:59,low,EGR,1,beach,,1,,,,vis,,
EP,3,9:59,low,BBPLOV,1,beach,,,1,,,,,
GC,1,A- 10:00,low,HEG,1,T2 bank,,1,,,,V,,
GC,1,A- 10:00,low,CROW,1,T1 woods,,,,,1,C,,
GC,1,A- 8:10,low,PIPLOV,3,T4 bank,,1,,,,V,,
GC,1,A- 8:10,low,PIPLOV,3,T1 bank,,1,,,,V,,
GC,1,A-5:50,low,BBG,2,Zone 1,1,,1,,,V,,
GC,1,B- 9:40,low,PPLOV,22,Zone 1--?,1,,,,,V,,
GC,1,B- 9:10,low,HEG,1,T4 bank,,,,,,V,,
GC,1,B- 4:10,low,TSWAL,1,T1 --?,1,,,,,V,,
GC,1,B- 4:10,low,PPLOV,3,T1 --?,1,,,,,V,,
GC,1,C- 10:00,low,SMSPAR,1,T1Q5,1,,,,,V,,
GC,1,C- 10:00,low,RWB,1,?,,,,,,C,,
GC,1,C- 8:10,low,HEG,1,Zone 1,1,,,,,V,,
GC,1,C- 3:30,low,SPPLOV,6,Zone 1,1,,,,,V,,
GC,1,C- 3:00,low,CORM,1,Zone 1,1,,,,,V,,
GC,1,C- 1:15,low,LAG,2,Zone 1,1,,,,,V,,
GC,1,C- 1:30,low,PPLOV,2,T4,,,1,,,V,,
GC,3,G- 10:00,low,BBG,2,,1,,,,,V,,
GC,3,G- 10:00 ,low,RWB,1,,,,,,1,C,,
GC,3,F- 6:10,low,TSWAL,7,,,,1,,,V,,
GC,3,F- 3:40,low,BSWAL,1,,1,,,,,V,,
GC,3,F- 1:00,low,BSWAL,1,,1,1,,,,V,,
GC,3,F- 6:00,low,TSWAL,2,,1,1,,,,V,,
GC,3,F- 10:00,low,PPLOV,3,,1,,,,,V,,
GC,3,F- 10:00,low,CROW,1,,1,,,,,V,,
GC,3,E- 3:50,low,BSWAL,2,,1,1,,,,V,,
GC,3,E- 1:15,low,PPLOV,3,,,,1,,,V,,
GC,2,D- 10:00,low,EGR,1,Zone 2,1,,,,,V,,
GC,2,D- 8:00,low,LAG,1,Zone 2,1,,,,,V,,
GC,2,D- 8:00,low,PLOV,1,Zone 2 rocks,,,1,,,C,,
GC,2,D- 7:00,low,SPPLOV,3,T5,,,,,,V,,
GC,2,E- 10:00,low,PPLOV,3,T5Q1,1,,1,,,V,,
GC,2,E- 6:40,low,TSWAL,1,T8Q1,1,,,1,,V,,
GC,2,E- 4:30,low,LAG,1,Zone 2,1,1,,,,V,,
GC,2,E- 4:30,low,SPPLOV,3,Zone 2,1,,,,,V,,
GC,2,E- 1:10,low,CORM,2,T5Q1,,1,,,,V,,
GC,2,F- 10:00,low,SPPLOV,7,Zone 2,1,,,,,V,,
GC,2,F-9:50,low,LAG,1,T5 bank,,1,,,,V,,
GC,2,F- 8:00,low,PPLOV,3,Zone 2,1,,,,,V,,
GC,2,F- 6:00,low,TSWAL,1,T5 bank,,1,,,,V,,
GC,2,F- 4:30,low,BBG,1,Zone 2,1,1,,,,V,,
GC,2,F- 2:15,low,SMSPAR,1,Zone 2,1,,,,,,,
GC,3,F- 7:30,high,BSWAL,1,T9,1,1,,,,V,,
GC,3,F- 7:00,high,TSPAR,1,T12Iva,,,1,,,C,,
GC,3,F- 6:15,high,EGR,1,T10Q2,,1,1,,,V,,
GC,3,F- 2:15,high,BSWAL,1,Creek,1,1,,,,V,,
GC,3,F- 10:30,high,PPLOV,3,Edge of T12,,1,,,,V,,
GC,3,G- 10:00,high,CAT,1,Trees,,,,,1,C,,
GC,3,G- 6:00,high,TSWAL,1,Creek,1,1,,,,V,,
GC,3,E- 10:00,high,PPLOV,3,Edge,,1,,,,V,,
GC,3,E- 6:00,high,BSWAL,1,Zone 3,1,1,,,,V,,
GC,3,E- 4:00,high,TSWAL,1,Trees,,,,,,C,,
GC,3,E- 2:00,high,RWB,1,Trees,,,,,,C,,
GC,1,A- 10:00,high,BSWAL,12,Zone 1,1,1,,,,V,,
GC,1,A- 10:00,high,TSWAL,5,Zone 1,1,1,,,,V,,
GC,1,A- 10:00,high,CORM,4,Zone 1,1,,,,,V,,
GC,1,A- 6:00,high,TSWAL,5,T1->T3,1,1,,,,V,,
GC,1,A- 6:00,high,BSWAL,3,T1->T3,1,1,,,,V,,
GC,1,A- 6:00,high,TSWAL,2,T1->T3,1,1,,,,V,,
GC,1,A- 3:30,high,TSWAL,1,"T1, T2",1,1,,,,V,,
GC,1,B- 9:00,high,BSWAL,2,"T1, T2",1,1,,,,V,,
GC,1,B- 9:00,high,CORM,1,Creek,1,1,,,,V,,
GC,1,B- 6:00,high,TSWAL,3,Zone 1,1,1,,,,V,,
GC,1,B- 6:00,high,BSWAL,2,Zone 1,1,1,,,,V,,
GC,1,C- 10:00,high,EGR,6,R of T1,,1,1,,,V,,
GC,1,C- 10:00,high,EGR,1,R of T1,,1,1,,,V,,
GC,1,C- 4:15,high,TSWAL,5,Zone 1,1,1,,,,V,,
GC,1,C- 4:15,high,EGR,1,T4Q3,,1,1,,,V,,
GC,1,C- 4:15,high,BSWAL,6,Zone 1,1,1,,,,V,,
GC,1,C- 4:15,high,TSWAL,7,T1,1,1,,,,V,,
GC,1,C- 4:15,high,PPLOV,16,T1Q4,,,,,,,,
GC,2,C- 10:00,high,BSWAL ,1,T7/T8,1,1,,,,V,,
GC,2,C- 10:00,high,BSWAL,2,T7/T8,1,1,,,,V,,
GC,2,C- 10:00,high,TSWAL,1,T7/T8,1,1,,,,V,,
